,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
scienza,-1.9075006102431902,-0.5004983571520413,-1.6222943312093685,-1.752220434999682,-1.0963864483119732,-1.4689789394028474,-0.3748951906194057,1.3591148125854549
matematica,-0.10113122845239077,1.7002729351522,-2.0149919555876528,0.39386117708562646,-0.11359148822721597,0.10952839726489924,0.05836632110074738,4.589113136007749
fisica,-0.4512325274705933,0.08017200075641423,-1.6861446804901197,-0.7775070066100892,1.111844277975104,-0.26553065772070367,-0.23225528339794463,1.60667247136421
chimica,-1.12340526255374,-1.8807289339330309,-1.4771671557748869,-0.9627297194154124,0.29678284495073604,-1.832279334749625,-1.5193530339182508,1.4684709271268512
biologia,-1.4913788119069897,-0.9641576711246569,-0.46057567043093683,-1.1598554018883456,0.25866657467765913,-1.5901364097398456,-1.3121278817989606,0.7611481691575948
informatica,-0.9257039737051727,0.09664332245542819,-0.777449333700225,-1.0740579644214974,-1.0368014148567932,-0.9429869811345456,-0.8028631973592503,-0.3678127787400625
statistica,-0.4140621968073055,-0.5489716413565463,-0.09707433724770549,-1.4476838250141864,-1.3705649008997376,-0.5285245566695036,-1.0634451823094497,0.3472901948527863
ingegneria,-0.4553000297803431,-0.524660800932316,-0.3905667329424719,-0.555205514148888,-0.5256496859094039,-0.4913265614400905,2.1066924875851436,2.883920569188676
tecnologia,-0.48928312248360384,-0.6134072730990445,-0.05479076556893501,-0.9204181230106483,-0.7369207096955387,-0.6405609830340573,-1.4501508466546909,-1.8289093299516948
scienziato,-0.6074485278621544,-0.7135780665658722,-0.29293146111485036,-0.9301485087209622,-1.4698324760117045,-0.7213159247478522,-0.26599181753334783,3.754454565340361
scuola,-1.5796858295660499,2.1296796834841416,-1.7378997907144098,-0.18888689885680632,0.08597269361219055,-0.21503263746978213,0.5705447704968415,4.520693697151169
insegnante,-0.7373043599890052,3.8915497407302646,-0.9428535653586106,-1.183071072598449,2.6605311472120228,1.3023773909496479,1.0473560979145995,3.341800370112652
